id_wad,id_author
0001,0030
0002,0190
0003,0375
0003,0065
0003,0149
0003,0292
0003,0299
0003,0262
0003,0349
0003,0216
0003,0110
0003,0366
0003,0261
0003,0063
0003,0010
0003,0139
0003,0122
0003,0015
0003,0198
0003,0128
0003,0158
0003,0012
0003,0484
0004,0300
0005,0156
0006,0412
0007,0436
0008,0018
0008,0022
0008,0065
0008,0074
0008,0075
0008,0080
0008,0370
0008,0118
0008,0148
0008,0180
0008,0205
0008,0210
0008,0262
0008,0267
0009,0135
0009,0300
0009,0105
0009,0307
0009,0102
0009,0262
0009,0322
0009,0345
0009,0346
0009,0007
0009,0165
0009,0021
0009,0178
0009,0063
0009,0197
0009,0129
0009,0253
0009,0237
0009,0146
0009,0408
0009,0085
0009,0270
0009,0143
0009,0030
0009,0049
0009,0039
0009,0005
0009,0029
0010,0245
0010,0312
0010,0445
0010,0216
0010,0478
0010,0178
0010,0036
0010,0374
0010,0137
0010,0487
0010,0015
0010,0488
0010,0172
0010,0079
0010,0003
0011,0157
0012,0007
0013,0002
0014,0207
0015,0255
0015,0202
0016,0023
0016,0085
0016,0092
0016,0132
0016,0146
0016,0170
0016,0190
0016,0195
0016,0197
0016,0223
0016,0240
0016,0262
0016,0016
0016,0129
0016,0157
0016,0341
0016,0408
0016,0463
0016,0272
0016,0030
0016,0049
0017,0152
0018,0157
0019,0085
0020,0145
0021,0102
0022,0049
0023,0264
0023,0011
0024,0027
0024,0056
0024,0066
0024,0067
0024,0159
0024,0160
0024,0162
0024,0165
0024,0197
0024,0212
0024,0258
0024,0157
0024,0295
0024,0322
0024,0326
0024,0331
0024,0023
0024,0207
0024,0200
0024,0362
0024,0146
0024,0421
0024,0201
0024,0436
0025,0216
0026,0027
0027,0116
0028,0082
0029,0249
0030,0025
0030,0083
0030,0121
0030,0232
0030,0033
0030,0147
0030,0155
0030,0077
0030,0148
0030,0065
0030,0209
0030,0248
0030,0151
0030,0240
0030,0222
0030,0199
0030,0262
0030,0164
0030,0015
0030,0140
0030,0259
0030,0252
0030,0046
0030,0200
0030,0061
0030,0069
0030,0251
0030,0075
0031,0132
0032,0441
0032,0391
0033,0197
0034,0147
0035,0334
0036,0015
0036,0079
0036,0071
0036,0172
0036,0178
0036,0182
0036,0245
0036,0272
0036,0312
0036,0036
0036,0322
0036,0328
0036,0348
0036,0183
0036,0064
0036,0066
0036,0088
0036,0206
0036,0100
0036,0393
0036,0137
0036,0153
0036,0408
0036,0238
0036,0168
0036,0417
0036,0173
0036,0047
0036,0030
0036,0216
0036,0039
0036,0474
0036,0028
0036,0273
0037,0135
0037,0171
0037,0051
0037,0340
0037,0078
0037,0258
0037,0345
0037,0145
0037,0204
0037,0100
0037,0119
0037,0244
0037,0421
0037,0044
0037,0047
0037,0004
0037,0223
0037,0270
0037,0038
0037,0057
0037,0086
0037,0049
0037,0014
0037,0250
0037,0079
0037,0005
0037,0089
0038,0221
0039,0079
0040,0001
0041,0193
0042,0221
0043,0030
0043,0380
0043,0262
0043,0139
0043,0252
0043,0329
0043,0266
0043,0038
0043,0006
0043,0463
0043,0216
0044,0090
0044,0045
0044,0207
0044,0436
0044,0182
0045,0182
0046,0207
0047,0216
0048,0106
0049,0099
0050,0260
0051,0221
0052,0276
0052,0319
0052,0326
0052,0067
0052,0258
0052,0145
0052,0165
0052,0357
0052,0200
0052,0364
0052,0382
0052,0226
0052,0396
0052,0191
0052,0081
0052,0421
0052,0423
0052,0201
0052,0432
0053,0250
0054,0006
0055,0396
0056,0271
