id_wad,award_year,wad_title,iwad,num_levels,single_player,cooperative,deathmatch,skill_levels,size_mb,download_url
0140,2017,Saturnine Chapel,Doom 2,2,TRUE,FALSE,FALSE,TRUE,1.79,www.doomworld.com/idgames/levels/doom2/Ports/s-u/satchap
0141,2017,Stardate 20x7,Doom 2,11,TRUE,TRUE,FALSE,TRUE,7.52,www.doomworld.com/idgames/levels/doom2/Ports/s-u/sd20x7
0142,2017,Void and Rainbow,Doom 2,1,TRUE,FALSE,FALSE,FALSE,24.5,www.doomworld.com/forum/topic/97787-void-and-rainbow/
0143,2018,Avactor,Doom 2,12,TRUE,NULL,NULL,NULL,128.18,www.doomworld.com/forum/topic/101647-avactor-last-update-is-out/
0144,2018,Dark Universe - Part 1,Doom 2,6,TRUE,FALSE,FALSE,TRUE,23.44,www.doomworld.com/idgames/levels/doom2/Ports/d-f/dupart1
0145,2018,Adventures of Square - Episode 2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0146,2018,Preacher,Doom 2,9,TRUE,TRUE,TRUE,TRUE,15.01,www.doomworld.com/idgames/levels/doom2/Ports/p-r/preacher
0147,2018,Dimension of the Boomed,Doom 2,9,TRUE,NULL,FALSE,TRUE,66.4,www.doomworld.com/forum/topic/92574-dimension-of-the-boomed/
0148,2018,Struggle - Antaresian Legacy,Doom 2,32,TRUE,TRUE,FALSE,TRUE,19.75,www.doomworld.com/idgames/levels/doom2/Ports/megawads/strg
0149,2018,REKKR,Doom,36,TRUE,TRUE,TRUE,TRUE,13.4,http://manbitesshark.com/downloads.html
0150,2018,Maskim Xul,Doom 2,5,TRUE,FALSE,FALSE,FALSE,11.56,www.doomworld.com/idgames/levels/doom2/Ports/m-o/maskimxul
0151,2018,Doom: The Golden Souls 2,Doom 2,NULL,TRUE,NULL,NULL,NULL,197.14,www.moddb.com/mods/doom-the-golden-souls-2/downloads/doom-the-golden-souls-2-14
0152,2018,UAC Invasion: The Supply Depot,Doom 2,1,TRUE,TRUE,FALSE,TRUE,8.84,www.doomworld.com/idgames/levels/doom2/Ports/s-u/supplydp
0153,2019,Eviternity,Doom 2,32,TRUE,TRUE,FALSE,TRUE,47.62,www.doomworld.com/idgames/levels/doom2/Ports/megawads/eviternity
0154,2019,Verdant Citadel,Doom 2,1,TRUE,FALSE,FALSE,TRUE,11.68,www.doomworld.com/idgames/levels/doom2/Ports/v-z/vercit
0155,2019,Paradise,Doom 2,33,TRUE,FALSE,FALSE,TRUE,53.4,www.doomworld.com/forum/topic/106058-paradise-v2-multiplayer-beta-on-page-3-4122020/
0156,2019,Hell-Forged,Doom 2,10,TRUE,TRUE,TRUE,TRUE,24.2,www.moddb.com/games/doom/downloads/hell-forged-v100c
0157,2019,Finely Crafted Fetish Film,Doom 2,7,TRUE,NULL,NULL,TRUE,4.7,www.doomworld.com/forum/topic/104608-finely-crafted-fetish-film-7-puzzle-maps-for-boom/
0158,2019,Hocus Pocus Doom,Doom 2,40,TRUE,FALSE,FALSE,TRUE,34.56,www.doomworld.com/idgames/levels/doom2/Ports/megawads/hocus
0159,2019,Shotgun Symphony,Doom,9,TRUE,FALSE,FALSE,TRUE,2.14,www.doomworld.com/idgames/levels/doom/Ports/s-u/sgnsym
0160,2019,Lost Civilization,Doom 2,22,TRUE,FALSE,FALSE,TRUE,38.05,www.doomworld.com/idgames/levels/doom2/Ports/megawads/joi_lstcv15
0161,2019,Remnant,Doom 2,1,TRUE,FALSE,FALSE,TRUE,5.8,www.doomworld.com/idgames/levels/doom2/Ports/p-r/remnant
0162,2019,The Wayfarer,Heretic,9,TRUE,TRUE,FALSE,TRUE,17.48,www.doomworld.com/idgames/levels/heretic/Ports/wayfarer
